rpm,phi,rgf,p_ivc_bar,misfire,error,theta_IGN,theta_25,theta_50,theta_75,theta_90,C_eff,T_peak_K,P_TDC_bar,phi_prime,gamma_ivc,IMEP_bar
2227.896083144632,0.34876080218524325,0.5958777921233414,1.215674821496957,False,,-15.082719376832202,-6.884168749673747,-3.4370986300425526,0.1424546846922915,3.3033401590155624,0.9946236317520235,1221.462676824184,38.527191142031256,0.1409419853999351,1.3683754670686377,1.1352909675723266
2463.8395781146664,0.66566130523112,0.4446563094755376,1.032342855384079,False,,-11.869549172354406,-1.6367089642996056,3.2883452554529073,8.754372074777924,13.404556342074681,0.9916759660291207,1838.791094702138,31.360310838844704,0.3696708058863808,1.3515678049689859,4.1780545537729425
1063.171793291805,0.3243812309817483,0.4669081248299783,1.5950302725771883,False,,-19.35490156919695,-12.473634233745761,-10.294854038928756,-8.516194229291115,-7.264482898192917,0.9999999995391532,1628.4734371660081,50.58565285833624,0.17292499869402017,1.3685778536936346,3.494537831630178
2416.688425509142,0.6178705895681325,0.29116022991473345,1.6641563671030961,False,,-14.2382331611465,-5.948444114709305,-3.379243627291337,-1.6175819066558415,-0.6074074313015798,1.0,2262.7084490385546,50.558105476611566,0.4379712466519231,1.3517007893784283,8.9445079769116
959.6283656611147,0.6638517198500058,0.4562272592740449,2.1540292665798395,False,,-19.743802898741713,-12.746835059087912,-11.020672338671128,-9.974752680147269,-9.37194811024921,1.0,2078.3848124697333,65.50821091892314,0.36098446913847665,1.3518210152609202,9.199517347878547
1578.2248329753625,0.41447360960072943,0.36644480381014943,1.8300695792030444,False,,-17.823722490408112,-10.721845244933357,-8.580020319727518,-6.986612065142396,-5.972631416038459,0.9999999999999677,1869.0564052208108,57.21740631721446,0.2625919090461057,1.3630098911584687,6.056146463372982
2289.4353801548614,0.2258766790477183,0.20563221775358642,2.323201600837861,False,,-18.245645517736563,-11.174560522000029,-8.938565479132427,-7.106510944298301,-5.826713714473015,1.0,1667.8339107232762,74.36795025593996,0.17942915659632094,1.3723638437965966,5.453796720806377
1996.920264968924,0.689894259918318,0.2831486819694525,2.335316981613302,False,,-32.944337764584745,-12.309449284034132,-9.925223120813094,-8.732930053347994,-8.160183151275078,1.0,2400.6918396600913,70.28104805216718,0.49455160952415544,1.348010260505763,13.6832473165364
3945.507331679659,0.3540925079520174,0.549210850429652,2.221882655302097,False,,-14.388976677646777,-6.0625866967982525,-2.763709385325818,0.5124099390240253,3.261134266798977,0.999451487061247,1263.7196301784948,70.30363466352404,0.1596210605289216,1.3677277878640346,2.642038898834506
1895.4407874003348,0.7891723413863236,0.22238426639220688,2.3105798325600992,False,,-41.052044852726205,-16.610189849231364,-13.364418213376998,-12.18193156139561,-11.706703148335082,1.0,2655.7631798383177,68.50363870776816,0.6136728291901058,1.3421929632762766,16.02825182627928
3318.1004626201925,0.30291868787148407,0.4831691529335747,1.7453298232692553,False,,-14.924853957895195,-6.720640403191529,-3.461010486377594,-0.2221018098700364,2.4945224900765934,0.9994536307485546,1282.8496374499564,55.49357607387432,0.15655772204486923,1.3698138459602407,2.182999505561587
3666.033254700863,0.4494916404854815,0.3138884714873715,1.4493504766691863,False,,-13.083505426381095,-3.8822201224961415,-0.17344424101287192,3.2526116741832483,5.722061301938815,0.9999999999999714,1904.7559363652633,45.04836787235946,0.3084013965071426,1.3606440512574005,5.560841709639994
1129.7888632195302,0.7535592219290879,0.5008836894589657,1.3599699425859284,True,,,,,,,,,,,,
1735.3375501595185,0.5895044342921008,0.3938547501613408,1.6387168357009048,False,,-15.996406080969788,-8.220618507721497,-5.869415748096049,-4.194849378365231,-3.186964436747349,1.0,2071.393453551192,50.14908682500769,0.3573253126049829,1.3544825554445412,7.209509087366845
2003.798076156732,0.5226860031720325,0.46204970167966547,1.7920054591095362,False,,-15.505607349678241,-8.029292925764903,-5.537680475702544,-3.588586103464678,-2.3237714171751715,0.9999999999104345,1882.392793273527,55.4215785363855,0.2811790913342582,1.3585814935712315,6.311026099327695
2619.2267638779167,0.7693272389579344,0.22487977321350788,2.0560722141226195,False,,-32.94289135355654,-9.485923050355307,-6.829483087321755,-5.51757279354655,-4.902865672354481,1.0,2586.6171597064385,61.09556933034616,0.5963211039340999,1.3432007364884244,14.474720199006198
3981.4720498981733,0.6756964046583707,0.47955965720899485,1.167320253243226,False,,-14.117482726192698,-1.3884226898899632,3.6141161918456692,9.32591680078223,15.102422079333875,0.6118049436446832,1064.2581226888274,35.47053504978996,0.35165966846305213,1.351620784015743,0.20172054283006982
1699.5609781999774,0.5543011579452303,0.4317404090865875,2.482288882892564,False,,-23.830590813433655,-23.38229475630777,-23.048179309844116,-20.896536408072976,-18.582287348554775,0.4503453365501515,991.3866916011941,51.05350326057537,0.3149869492567874,1.3566795230856272,-9.191617327887016
